Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted
11.62606239,29.23339081,2.592117786,2.113868475,36.31336975,0,3.710969448,0.733381391
11.56934166,29.43104362,2.346288681,1.779892206,36.29120636,0,3.488381147,0.599478245
11.56337357,29.51412773,2.018964767,1.513820887,36.30337143,0,4.103215218,0.84138906
11.59831619,29.57280922,2.081558228,1.556707025,36.25980377,0,3.792676449,0.664156497
11.53649044,29.85693741,2.12658,1.534646034,36.21615982,0,3.389058352,0.505362093
11.4106226,30.0867939,2.451212168,1.830530405,36.19198227,0,3.488961935,0.558673799
11.22943878,30.53041267,2.840226412,2.291532278,36.18694305,0,3.80444932,0.807156384
11.04905415,31.05631828,2.535409927,2.027952433,36.15625763,0,4.104527473,1.045066714
10.97332668,31.48877716,2.160233021,1.589388609,36.11292648,0,3.845436811,0.834554791
10.82469177,31.4139595,2.032162189,1.512830257,36.15551758,0,3.456423998,0.490427643
10.70719528,31.72942734,1.946861386,1.474052072,36.1363678,0,3.27651453,0.447934985
10.6717577,31.98255539,1.863638997,1.364792228,36.08493423,0,3.496144056,0.566403866
10.58451748,32.02290726,2.023853779,1.471329331,36.05573273,0,3.539874554,0.621989429
10.52064037,32.31745529,1.83697176,1.338929296,36.01390076,0,3.674010754,0.706973374
10.57275963,32.10230637,1.837627888,1.351038933,36.00520706,0,3.644933462,0.720142961
10.73303318,31.82971382,1.555916905,1.017456174,36.01921082,0,3.38974309,0.522264302
10.67686653,32.09522247,1.851384044,1.356359839,35.98727417,0,3.278129101,0.404528111
10.6780901,32.19410706,2.297910213,1.843421578,35.96134567,0,4.693709373,1.710606456
10.80747795,32.15734482,4.975289822,4.271024704,35.76928329,0,7.434735775,4.166562557
10.96171188,31.90754509,8.740819931,7.707033157,35.75996017,0,11.31019306,7.861682415
10.85999107,32.12615204,18.80037498,17.12321854,35.7780304,0,20.58456612,15.29485893
10.75329685,32.41201782,28.42060089,24.18137741,35.75407791,0,43.58395386,22.58711243
10.81519699,32.4470253,47.52487183,29.12247276,35.79344177,0,67.35108185,28.92925262
11.30280685,31.77288818,63.47629547,32.6949234,35.87411499,0,91.95702362,35.8925972
12.15924072,30.11468124,84.07660675,41.85630798,35.89915085,0,116.460228,41.58246231
12.75002098,28.94166565,106.6872253,50.40035629,35.97245407,0,150.7583008,54.86972809
12.97553253,28.97165298,148.6239319,77.22418213,36.17190552,0,193.4786682,77.2274704
13.45858002,28.29319191,192.0907288,102.3930206,36.28242493,0,234.9079285,93.49460602
14.54319382,26.34586906,208.1191101,101.3256302,36.42546463,0,257.3313293,94.3237915
15.40889359,25.18313217,200.4738007,73.85964966,36.609272,0,263.327301,80.61894989
