T,H,P
28.72,67.63,31.32
28.36,67.3,31.58
28.25,67.31,31.17
28.5,67.1,30.89
27.94,66.36,30.97
27.79,66.19,31
27.75,65.62,31.9
27.72,65,31.49
27.51,64.82,31.17
27.42,64.87,31.83
27.29,64.48,31.7
27.17,64.43,31.72
27.6,64.18,30.94
26.9,63.74,31.62
26.77,64.11,30.47
26.67,63.36,30.8
26.7,63.23,31.6
26.65,62.91,31.09
26.51,62.75,31.24
26.37,63.3,30.38
26.29,63.8,30.93
26.21,63.2,31.37
26.22,63.11,31.43
26.15,62.82,30.96
26.12,62.55,30.55
26.6,62.28,30.54
26.6,62.35,30.97
25.99,62.31,31.26
25.99,62.21,30.31
25.99,61.81,30.78
25.94,61.75,30.61
25.85,61.8,30.68
25.75,61.65,30.55
25.68,61.69,30.81
25.68,61.72,30.63
25.77,61.35,30.62
25.79,61.3,30.99
25.68,61.4,31.15
25.55,61.17,30.99
25.5,61.5,30.88
25.53,60.85,30.83
25.38,60.94,31.12
25.32,60.93,30.45
25.26,60.94,30.69
25.26,60.71,31.33
25.19,60.65,31.03
25.12,60.66,31.29
25.12,60.47,30.82
25.7,60.6,30.86
25.8,60.61,30.8
25.16,60.25,30.48
25.18,59.96,30.34
25.5,60.42,30.33
24.87,60.73,31.04
24.82,60.82,30.31
24.94,60.52,30.62
24.99,60.56,30.79
25.3,59.99,31.05
25.5,60.7,30.83
25.2,59.79,30.73
24.92,59.98,30.86
24.96,60.6,30.91
24.99,59.76,30.83
24.95,59.6,31.41
24.88,59.76,31.11
24.8,59.9,30.82
24.8,59.84,31.21
24.83,59.72,31.21
24.8,60.28,31.21
24.76,59.93,30.53
24.81,60,30.55
24.82,60.21,30.42
24.82,60.13,30.85
24.76,59.86,30.56
24.66,59.87,31.41
24.55,60.2,30.89
24.48,60.11,31.1
24.45,60.35,30.45
24.39,60.27,30.57
24.42,60.4,30.89
24.48,59.98,30.9
24.5,60.7,30.67
24.53,59.91,30.77
24.55,59.69,30.56
24.54,59.59,31.06
24.57,59.58,30.69
24.59,59.31,30.56
24.53,59.26,30.6
24.47,59.28,30.9
24.4,59.48,30.64
24.4,59.34,30.64
24.41,59.38,31.42
24.42,59.21,31.05
24.39,59.38,30.89
24.4,59.18,30.49
24.34,59.24,30.95
24.25,59.4,30.85
24.27,59.42,30.9
24.25,59.26,31
24.27,59.31,30.78
24.27,59.16,30.77
24.26,58.97,30.81
24.16,59.4,30.51
24.12,59.11,30.7
24.17,58.87,30.73
24.8,59.3,30.88
24.4,59.24,30.42
24.5,58.97,30.4
24.8,58.89,31.03
24.7,58.76,30.69
24.5,58.73,30.59
24.8,58.6,30.94
24.6,58.7,30.87
24.6,58.62,30.88
24.2,58.67,30.96
24,58.71,30.52
23.99,58.85,30.84
23.87,58.86,30.66
23.88,58.89,30.87
23.9,58.76,30.67
23.9,58.71,30.87
23.87,58.75,30.29
23.87,58.74,30.06
23.88,58.67,30.84
23.85,58.68,30.8
23.79,58.82,30.97
23.8,58.9,30.81
23.8,58.74,30.79
23.76,58.72,30.18
23.71,58.79,30.36
23.68,58.84,30.48
23.65,58.85,31.15
23.64,58.97,30.76
23.61,59,31.52
23.58,59.3,31.59
23.57,59.4,30.81
23.55,59.13,30.76
23.58,59.9,31.09
23.55,59.2,31.86
23.52,59.7,30.93
23.48,59.16,30.98
23.43,59.27,30.86
23.42,59.62,31.19
23.43,59.2,31.28
23.47,59.5,31.14
23.43,59.32,31.2
23.44,59.23,30.84
23.42,59.17,30.74
23.42,59.16,31.06
23.42,59.33,31.31
23.48,59.46,30.97
23.51,59.1,31.35
23.54,59.13,31.08
