PCA1,PCA2,PCA3,Power
638.7400889,-25.6036377,-74.10455876,2.933133602
621.6366618,-21.75805584,-78.74154125,2.922333241
619.9682595,-14.43760379,-78.90438512,2.932533026
602.8525219,-4.157785306,-79.82817439,2.864199638
595.3763759,5.910007435,-83.09180861,2.836799622
634.0454217,41.27253402,-78.34311583,2.914466381
498.2851145,89.9748227,23.16551368,2.810399771
526.0159717,61.9206211,-61.29990204,2.627133369
518.7546929,21.01411161,-69.66887111,2.648399591
514.411565,35.98662432,-71.93821115,2.574266434
158.913783,94.24117116,-62.44870566,1.397599936
-39.42643474,116.0757643,-94.88363151,0.629866719
42.46380111,108.8078605,-9.52059422,1.239933372
10.64393568,101.7263822,-0.228292496,1.262333393
4.037185494,120.0280635,19.83826585,1.291066647
-101.3632478,177.6282546,-32.75128928,0.56673336
82.90253356,155.2650921,-82.87299352,1.06280005
-28.60745632,163.357059,-68.58011635,0.699999988
-106.5278241,171.6290496,-36.8916983,0.552600026
-150.3213889,158.3100727,-19.7343525,0.493400037
-189.6103719,137.3255777,-17.53632823,0.416666627
-213.376102,121.1799772,-11.82273156,0.381933331
-236.463394,103.8629865,-14.33842581,0.319200039
-214.0485081,92.41648072,-17.80972602,0.382333368
-195.1687589,94.03528127,-12.16991421,0.441666633
-218.0382061,99.60851515,-9.85881683,0.365466684
-229.4020415,101.7843358,-15.10704517,0.329333335
-201.5224188,99.67588295,-18.56592154,0.385733306
-127.8092467,80.83745497,-3.434707336,0.522066653
-218.2815748,85.64490129,-33.99686443,0.322333336
-247.2480159,86.76220484,-16.84012948,0.271000057
-269.80726,75.69965527,-12.94691944,0.226266623
-291.3751373,65.65366686,-9.763274773,0.184266672
-295.6288664,50.10464151,-19.165628,0.148466691
-306.3658269,35.86225475,-25.98950648,0.104533315
-309.0175064,25.40538039,-32.00254349,0.08646667
-334.9163688,15.65706595,-22.5167171,0.052999996
-358.873425,7.95922733,-13.03923287,0.013799997
-376.0392016,2.018749133,-5.002072461,-6.67E-05
-388.5480494,-4.998775378,-2.565377048,-0.009400001
-396.0263769,-9.579710403,0.537653215,-0.003133334
-400.3477129,-12.23058823,2.131413397,0.000466667
-403.1298739,-14.1905939,2.879808819,0.0002
-405.3625242,-15.76766317,3.005951886,0.0004
-405.9014947,-16.16926368,3.461618589,0.0002
-405.9376411,-16.14369298,3.622707188,0.0006
-406.9876026,-16.82417984,3.722433994,-0.000133333
-409.1887441,-18.26006222,3.147172551,0.000733333
